symbol,name,price,marketCap,volume,industry
EPSN,Epsilon Energy Ltd. Common Share,5.3,160317670.0,326676,Energy
PED,Pedevco Corp. Common Stock,11.71,155759429.0,46714,Energy
TUSK,Mammoth Energy Services Inc. Common Stock,3.03,145957060.0,425292,Energy
SJT,San Juan Basin Royalty Trust Common Stock,3.11,144953356.0,134303,Energy
EPM,Evolution Petroleum Corporation Inc. Common Stock,3.86,138468719.0,337955,Energy
GLND,Greenland Energy Company Common Stock,3.07,134251696.0,3208583,Energy
DWSN,Dawson Geophysical Company Common Stock,4.29,133216684.0,59918,Energy
NCSM,NCS Multistage Holdings Inc. Common Stock,49.45,129782662.0,30153,Energy
EP,Empire Petroleum Corporation Common Stock,2.98,118580768.0,357968,Energy
MMLP,Martin Midstream Partners L.P. Limited Partnership,2.39,93508000.0,105585,Energy
NRT,North European Oil Royality Trust Common Stock,7.12,65437001.0,80102,Energy
PVL,Permianville Royalty Trust Units of Beneficial Interest,1.8,59400000.0,61569,Energy
CRT,Cross Timbers Royalty Trust Common Stock,8.93,53580000.0,44713,Energy
BSIN,Big Sky Industrial Inc. Common Stock,1.02,53366838.0,3077570,Energy
GLNDW,Greenland Energy Company Warrant,1.1502,50298469.0,70765,Energy
AGIG,Abundia Global Impact Group Inc. Common stock,1.1,48425103.0,264417,Energy
VOC,VOC Energy Trust Units of Beneficial Interest,2.78,47260000.0,67757,Energy
KLXE,KLX Energy Services Holdings Inc. Common Stock,2.305,45896604.0,450393,Energy
PRT,PermRock Royalty Trust Units of Beneficial Interest,2.32,28224498.0,144196,Energy
BATL,Battalion Oil Corporation Common Stock,1.2,26422619.0,6932790,Energy
CKX,CKX Lands Inc. Common Stock,11.64,23898422.0,18966,Energy
ANNAW,AleAnna Inc. Warrant,0.285,19076304.0,17748,Energy
MVO,MV Oil Trust Units of Beneficial Interests,1.47,16905000.0,120405,Energy
MXC,Mexco Energy Corporation Common Stock,7.91,16183860.0,15859,Energy
BRN,Barnwell Industries Inc. Common Stock,1.0,14395560.0,135995,Energy
MARPS,Marine Petroleum Trust Units of Beneficial Interest,4.26,8520000.0,11483,Energy
MTR,Mesa Royalty Trust Common Stock,3.36,6261662.0,21175,Energy
GBR,New Concept Energy Inc Common Stock,0.754,3869478.0,31721,Energy
METCZ,Ramaco Resources Inc. 8.375% Senior Notes due 2029,25.3,0.0,973,Energy
