symbol,name,industry,close,marketCap,aboveSma12m,aboveSma200,aboveSma150,vcp,contractions,volatilityRatio,pe,peTrend,fcf,fcfTrend,eps,epsTrend,freeFloatPct,closelyHeldPct,employees,rulesPassed,rulesTotal,score
F,Ford Motor Company Common Stock,Industrials,14.05,55030247454,true,true,true,false,8,0.63,,unknown,,unknown,,unknown,,,169000,6,12,5
MET,MetLife Inc. Common Stock,Finance,96.68,61437909302,true,true,true,false,11,0.36,,unknown,,unknown,,unknown,,,46000,6,12,5
URI,United Rentals Inc. Common Stock,Consumer Discretionary,1164.82,72501296037,true,true,true,false,10,0.33,,unknown,,unknown,,unknown,,,28500,6,12,5
O,Realty Income Corporation Common Stock,Real Estate,62.4,59044005259,true,true,true,false,10,1.73,,unknown,,unknown,,unknown,,,544,6,12,5
PSX,Phillips 66 Common Stock,Energy,240.55,95984481344,true,true,true,false,13,0.16,,unknown,,unknown,,unknown,,,12600,6,12,5
D,Dominion Energy Inc. Common Stock,Utilities,68.77,60484999513,true,true,true,false,13,0.4,,unknown,,unknown,,unknown,,,15200,6,12,5
EW,Edwards Lifesciences Corporation Common Stock,Health Care,90.81,52342884000,true,true,true,false,9,1.28,,unknown,,unknown,,unknown,,,16000,6,12,5
VLO,Valero Energy Corporation Common Stock,Energy,347.19,99965535185,true,true,true,false,14,9.68,,unknown,,unknown,,unknown,,,9811,6,12,5
CAH,Cardinal Health Inc. Common Stock,Health Care,235.66,54808796060,true,true,true,false,8,7.59,,unknown,,unknown,,unknown,,,63900,6,12,5
CBRE,CBRE Group Inc Common Stock Class A,Finance,147.96,42845561092,true,true,true,false,13,5.78,,unknown,,unknown,,unknown,,,155000,6,12,5
GWW,W.W. Grainger Inc. Common Stock,Industrials,1317.68,62063969255,true,true,true,false,11,253.69,,unknown,,unknown,,unknown,,,25000,6,12,5
ROP,Roper Technologies Inc. Common Stock,Technology,389.71,38542659607,true,true,true,false,12,0.14,,unknown,,unknown,,unknown,,,19400,6,12,5
DDOG,Datadog Inc. Class A Common Stock,Technology,247.32,88806434936,true,true,true,false,14,0.55,,unknown,,unknown,,unknown,,,8100,6,12,5
AME,AMETEK Inc.,Industrials,254.17,58271330387,true,true,true,false,16,7.46,,unknown,,unknown,,unknown,,,22500,6,12,5
FAST,Fastenal Company Common Stock,Consumer Discretionary,51.23,58786300665,true,true,true,false,10,4.22,,unknown,,unknown,,unknown,,,24489,6,12,5
